subscription_id,customer_id,plan,contract_type,start_date,end_date,status,monthly_fee,tenure_months
1,1,Basic,Monthly,2025-06-19,,Active,49,11
2,2,Premium,Monthly,2024-12-07,,Active,199,18
3,3,Standard,Annual,2024-06-11,,Active,99,24
4,4,Basic,Monthly,2025-09-11,,Active,49,8
5,5,Enterprise,Monthly,2024-11-28,,Active,499,18
6,6,Premium,Annual,2024-08-21,,Active,199,21
7,7,Premium,Monthly,2026-01-18,,Active,199,4
8,8,Basic,Monthly,2024-09-03,2025-10-05,Churned,49,13
9,9,Basic,Annual,2025-11-04,,Active,49,6
10,10,Premium,Monthly,2024-11-28,,Active,199,18
11,11,Standard,Monthly,2025-04-10,2025-07-18,Churned,99,3
12,12,Basic,Monthly,2025-09-29,2025-11-02,Churned,49,1
13,13,Premium,Annual,2025-08-12,,Active,199,9
14,14,Basic,Monthly,2025-10-13,,Active,49,7
15,15,Basic,Monthly,2026-05-20,,Active,49,0
16,16,Standard,Monthly,2025-07-08,,Active,99,10
17,17,Standard,Monthly,2024-02-05,,Active,99,28
18,18,Premium,Monthly,2026-03-15,,Active,199,2
19,19,Basic,Monthly,2025-03-15,2025-10-30,Churned,49,7
20,20,Standard,Annual,2023-08-14,,Active,99,34
21,21,Basic,Monthly,2024-07-28,2025-05-30,Churned,49,10
22,22,Premium,Monthly,2023-10-18,,Active,199,31
23,23,Standard,Monthly,2025-12-12,,Active,99,5
24,24,Standard,Monthly,2024-09-29,2025-12-23,Churned,99,15
25,25,Premium,Monthly,2025-11-13,,Active,199,6
26,26,Basic,Monthly,2025-04-26,,Active,49,13
27,27,Basic,Monthly,2026-01-10,,Active,49,4
28,28,Standard,Monthly,2025-06-07,,Active,99,11
29,29,Standard,Monthly,2024-02-24,,Active,99,27
30,30,Premium,Monthly,2025-09-08,,Active,199,8
31,31,Enterprise,Monthly,2026-04-17,,Active,499,1
32,32,Basic,Monthly,2024-08-05,,Active,49,22
33,33,Standard,Monthly,2023-10-31,,Active,99,31
34,34,Basic,Monthly,2024-02-22,2025-12-08,Churned,49,21
35,35,Basic,Annual,2026-05-01,,Active,49,1
36,36,Basic,Annual,2023-10-11,2024-10-18,Churned,49,12
37,37,Basic,Monthly,2023-08-01,2024-02-23,Churned,49,6
38,38,Basic,Monthly,2025-05-15,2025-11-10,Churned,49,5
39,39,Standard,Monthly,2025-07-27,,Active,99,10
40,40,Standard,Monthly,2024-08-04,2026-02-12,Churned,99,18
41,41,Standard,Monthly,2023-10-26,2024-06-06,Churned,99,7
42,42,Basic,Annual,2026-02-15,,Active,49,3
43,43,Basic,Monthly,2026-02-11,,Active,49,3
