ticket_id,customer_id,created_date,issue_type,resolution_time_hours,ticket_status
1,1,2026-02-27,Login Issue,30.5,Resolved
2,1,2025-12-15,Feature Request,15.12,Resolved
3,1,2026-02-11,Login Issue,9.86,Closed
4,1,2026-01-13,Login Issue,24.8,Resolved
5,1,2026-05-30,Billing,16.09,Resolved
6,1,2025-07-22,Performance,25.21,Closed
7,2,2025-07-15,Login Issue,25.24,Resolved
8,3,2024-12-16,Performance,9.78,Closed
9,3,2026-02-20,Billing,29.49,Resolved
10,3,2025-02-25,Feature Request,28.12,Closed
11,4,2026-01-01,Performance,20.57,Resolved
12,4,2026-05-12,Billing,18.17,Closed
13,4,2026-04-03,Login Issue,34.65,Closed
14,6,2025-12-14,Performance,14.28,Closed
15,6,2026-02-28,Bug,19.71,Resolved
16,6,2025-05-01,Billing,31.22,Closed
17,7,2026-05-05,Login Issue,23.5,Resolved
18,8,2025-06-08,Login Issue,12.97,Closed
19,8,2025-04-28,Performance,16.72,Closed
20,8,2026-05-14,Feature Request,35.08,Resolved
21,9,2025-11-08,Feature Request,22.2,Closed
22,9,2026-05-10,Feature Request,13.69,Closed
23,9,2026-01-21,Performance,24.84,Closed
24,10,2025-01-31,Billing,20.75,Resolved
25,10,2025-02-07,Feature Request,25.4,Resolved
26,10,2025-10-18,Bug,25.69,Closed
27,10,2025-11-18,Feature Request,19.5,Resolved
28,11,2025-12-11,Login Issue,30.36,Closed
29,11,2025-06-21,Login Issue,19.82,Closed
30,11,2026-05-18,Feature Request,31.04,Closed
31,11,2025-04-25,Performance,12.78,Closed
32,12,2025-10-26,Login Issue,26.89,Closed
33,12,2026-03-06,Bug,12.44,Closed
34,13,2026-04-17,Login Issue,20.86,Resolved
35,14,2025-11-25,Bug,25.72,Closed
36,14,2026-03-15,Bug,13.97,Closed
37,14,2026-01-25,Bug,16.84,Resolved
38,14,2025-11-16,Login Issue,24.33,Resolved
39,15,2026-05-25,Billing,25.77,Closed
40,15,2026-05-22,Performance,22.57,Closed
41,16,2025-11-10,Billing,25.42,Closed
42,16,2025-10-05,Bug,29.55,Resolved
43,17,2025-08-07,Performance,29.22,Resolved
44,17,2025-10-15,Login Issue,23.16,Closed
45,17,2025-08-26,Performance,22.6,Resolved
46,18,2026-05-30,Feature Request,25.5,Resolved
47,19,2026-05-01,Login Issue,16.49,Resolved
48,19,2026-01-09,Login Issue,25.97,Closed
49,19,2025-05-24,Feature Request,24.27,Resolved
50,19,2025-09-01,Billing,33.64,Resolved
51,20,2024-03-02,Performance,11.26,Resolved
52,20,2026-04-29,Billing,29.36,Resolved
53,21,2025-05-31,Performance,28.42,Closed
54,21,2024-12-12,Bug,19.68,Resolved
55,21,2025-08-31,Feature Request,28.95,Resolved
56,21,2025-09-25,Bug,0.1,Resolved
57,22,2024-07-23,Performance,31.02,Closed
58,22,2025-08-17,Bug,27.58,Resolved
59,22,2024-03-20,Billing,20.5,Closed
60,22,2025-02-09,Billing,30.45,Closed
61,23,2026-04-13,Bug,24.8,Resolved
62,23,2026-01-07,Bug,21.38,Resolved
63,23,2026-01-30,Billing,23.71,Resolved
