customer_id,signup_date,country,age,gender,acquisition_channel,company_size,industry,last_login_date
1,2025-06-19,Singapore,25,Male,LinkedIn,Small,Finance,2026-04-19
2,2024-12-07,Singapore,24,Male,Facebook Ads,Small,Technology,2026-04-12
3,2024-06-11,USA,31,Male,Facebook Ads,Medium,Education,2026-05-29
4,2025-09-11,Canada,63,Female,Google Ads,Small,Healthcare,2026-05-13
5,2024-11-28,Indonesia,18,Male,Referral,Small,Finance,2026-05-26
6,2024-08-21,Canada,39,Male,Organic,Small,Healthcare,2026-05-28
7,2026-01-18,Indonesia,40,Female,Organic,Medium,Education,2026-05-29
8,2024-09-03,USA,42,Male,Facebook Ads,Small,Manufacturing,2026-04-21
9,2025-11-04,Australia,41,Male,Organic,Small,Finance,2026-05-21
10,2024-11-28,Indonesia,36,Male,Google Ads,Medium,Retail,2026-04-06
11,2025-04-10,UK,47,Female,Google Ads,Small,Finance,2026-05-20
12,2025-09-29,Singapore,35,Male,Facebook Ads,Medium,Education,2026-05-09
13,2025-08-12,Singapore,33,Male,Referral,Small,Manufacturing,2026-05-23
14,2025-10-13,Singapore,53,Male,LinkedIn,Medium,Technology,2026-05-12
15,2026-05-20,Canada,20,Female,Referral,Small,Finance,2026-05-31
16,2025-07-08,Australia,63,Female,Google Ads,Medium,Retail,2026-05-01
17,2024-02-05,Singapore,47,Male,LinkedIn,Small,Manufacturing,2026-04-05
18,2026-03-15,Australia,52,Female,Facebook Ads,Small,Education,2026-05-24
19,2025-03-15,Germany,41,Male,Google Ads,Small,Technology,2026-05-18
20,2023-08-14,Indonesia,21,Male,Google Ads,Medium,Manufacturing,2026-03-11
21,2024-07-28,Germany,56,Male,Referral,Small,Retail,2026-05-16
22,2023-10-18,Australia,34,Male,Organic,Medium,Education,2026-05-30
23,2025-12-12,Indonesia,35,Female,Organic,Small,Finance,2026-05-26
24,2024-09-29,Germany,18,Female,Facebook Ads,Medium,Education,2026-05-21
25,2025-11-13,USA,58,Female,Facebook Ads,Medium,Finance,2026-05-28
26,2025-04-26,UK,28,Male,Facebook Ads,Small,Technology,2026-05-21
27,2026-01-10,USA,41,Female,Google Ads,Small,Education,2026-05-26
28,2025-06-07,USA,23,Female,Organic,Large,Education,2026-05-31
29,2024-02-24,Indonesia,26,Male,Referral,Large,Finance,2026-05-07
30,2025-09-08,UK,51,Female,Google Ads,Large,Manufacturing,2026-05-20
31,2026-04-17,Singapore,30,Female,Referral,Large,Manufacturing,2026-05-31
32,2024-08-05,UK,46,Female,Organic,Small,Technology,2025-11-11
33,2023-10-31,UK,19,Male,Facebook Ads,Small,Technology,2026-05-17
34,2024-02-22,Singapore,58,Male,Google Ads,Small,Technology,2026-04-29
35,2026-05-01,Indonesia,39,Male,Facebook Ads,Small,Manufacturing,2026-05-31
36,2023-10-11,Germany,31,Male,Facebook Ads,Small,Finance,2025-04-24
37,2023-08-01,Indonesia,48,Female,Google Ads,Small,Manufacturing,2025-11-08
38,2025-05-15,Germany,40,Female,Referral,Small,Manufacturing,2026-04-21
39,2025-07-27,USA,61,Male,Organic,Small,Healthcare,2026-05-14
40,2024-08-04,Indonesia,24,Male,Google Ads,Small,Retail,2026-05-04
41,2023-10-26,Canada,45,Male,LinkedIn,Small,Technology,2026-05-28
42,2026-02-15,Germany,53,Male,Organic,Medium,Education,2026-05-09
43,2026-02-11,Indonesia,18,Male,Google Ads,Small,Retail,2026-05-21
44,2024-02-14,Germany,31,Female,Organic,Small,Technology,2026-03-28
45,2025-01-09,Germany,34,Female,LinkedIn,Small,Manufacturing,2026-03-12
46,2025-03-01,Indonesia,53,Female,Google Ads,Small,Finance,2026-04-27
47,2025-05-13,USA,55,Male,LinkedIn,Small,Education,2026-05-23
48,2025-12-11,Germany,50,Male,Organic,Large,Technology,2026-05-31
49,2026-05-09,Indonesia,29,Male,Facebook Ads,Small,Finance,2026-05-30
50,2024-08-15,Germany,25,Male,Facebook Ads,Small,Education,2026-03-16
51,2024-04-13,USA,44,Female,LinkedIn,Small,Manufacturing,2026-03-05
52,2024-12-05,UK,33,Female,Referral,Small,Manufacturing,2026-05-19
53,2025-01-09,UK,47,Female,Organic,Small,Education,2026-05-17
54,2025-05-19,Australia,24,Male,Facebook Ads,Small,Healthcare,2026-04-25
55,2024-02-19,Canada,40,Male,Google Ads,Small,Finance,2026-05-31
56,2025-10-20,Germany,52,Female,Facebook Ads,Large,Manufacturing,2026-05-30
57,2026-05-15,Australia,18,Female,Organic,Large,Finance,2026-05-31
58,2026-03-25,UK,25,Male,Facebook Ads,Small,Healthcare,2026-05-22
59,2024-04-14,Australia,31,Female,Google Ads,Medium,Healthcare,2026-05-10
60,2024-11-22,Australia,49,Female,Organic,Small,Retail,2026-04-23
61,2026-02-23,Indonesia,35,Male,Organic,Small,Finance,2026-05-20
62,2025-12-27,Singapore,34,Male,Referral,Small,Retail,2026-05-19
63,2026-02-14,Australia,18,Male,Organic,Large,Manufacturing,2026-05-29
64,2025-02-26,Canada,52,Male,LinkedIn,Small,Finance,2026-04-22
65,2026-05-07,Germany,26,Male,LinkedIn,Small,Technology,2026-05-29
66,2024-02-14,UK,31,Male,Organic,Small,Education,2026-03-25
67,2024-11-27,Indonesia,44,Male,Google Ads,Medium,Finance,2026-04-24
68,2024-05-02,Germany,19,Male,LinkedIn,Medium,Retail,2026-03-18
69,2025-08-12,Indonesia,60,Male,LinkedIn,Small,Manufacturing,2026-05-31
70,2023-11-16,USA,42,Male,Referral,Small,Retail,2026-05-27
71,2025-08-27,UK,37,Male,Google Ads,Small,Finance,2026-05-12
72,2025-01-14,Germany,39,Female,Organic,Large,Healthcare,2026-04-03
73,2023-12-15,UK,59,Female,Facebook Ads,Small,Technology,2026-05-11
74,2025-06-04,USA,34,Male,Facebook Ads,Large,Healthcare,2026-04-17
75,2025-04-23,USA,24,Female,LinkedIn,Medium,Healthcare,2026-05-14
76,2024-10-07,Germany,56,Male,Referral,Medium,Finance,2026-05-03
77,2023-10-11,UK,20,Female,Organic,Small,Education,2026-03-15
78,2024-11-15,Singapore,64,Male,LinkedIn,Small,Manufacturing,2026-04-14
79,2023-12-29,UK,57,Female,Organic,Medium,Healthcare,2026-01-08
80,2025-05-19,Australia,37,Female,LinkedIn,Small,Healthcare,2026-04-21
81,2024-04-10,Australia,26,Male,Referral,Medium,Retail,2026-03-19
82,2025-10-18,Singapore,65,Male,Facebook Ads,Small,Retail,2026-05-11
83,2024-05-04,Australia,18,Female,LinkedIn,Small,Education,2026-03-31
84,2023-12-23,Australia,59,Female,Referral,Small,Manufacturing,2026-03-08
85,2025-07-13,Canada,50,Female,Google Ads,Medium,Healthcare,2026-05-23
86,2024-04-10,Australia,60,Female,Organic,Medium,Finance,2026-03-24
87,2023-07-28,Singapore,37,Male,Google Ads,Small,Technology,2026-01-05
88,2025-07-09,Canada,48,Male,Referral,Small,Manufacturing,2026-05-26
89,2024-01-26,Australia,30,Female,Referral,Small,Finance,2026-01-04
90,2026-01-27,Singapore,62,Male,Organic,Medium,Finance,2026-05-29
91,2025-07-20,Canada,62,Female,Organic,Small,Technology,2026-05-19
92,2026-01-01,Germany,26,Female,Facebook Ads,Large,Education,2026-05-30
93,2025-03-21,UK,46,Female,Facebook Ads,Small,Finance,2026-05-18
94,2025-11-20,Singapore,48,Female,LinkedIn,Medium,Manufacturing,2026-05-16
95,2024-08-14,UK,51,Female,Google Ads,Small,Technology,2026-04-28
96,2026-01-19,Singapore,36,Male,LinkedIn,Small,Education,2026-05-29
97,2024-06-30,USA,26,Male,Google Ads,Small,Finance,2026-03-21
98,2024-10-22,Singapore,31,Male,Referral,Small,Education,2026-03-16
99,2026-01-02,Germany,44,Male,Google Ads,Medium,Retail,2026-05-30
100,2024-05-11,Indonesia,55,Male,Facebook Ads,Small,Technology,2026-05-02
101,2025-08-05,UK,37,Female,Referral,Small,Manufacturing,2026-05-16
102,2023-10-14,Australia,56,Male,Referral,Small,Retail,2026-03-19
103,2024-10-15,Germany,19,Female,LinkedIn,Medium,Retail,2026-05-12
104,2024-10-08,Singapore,28,Female,Google Ads,Large,Education,2026-05-12
105,2023-12-16,USA,43,Male,Organic,Medium,Finance,2026-05-29
106,2024-02-14,Indonesia,47,Male,Organic,Small,Healthcare,2026-02-27
107,2023-09-08,Canada,47,Female,LinkedIn,Medium,Retail,2026-02-12
108,2024-01-14,UK,44,Female,Organic,Small,Manufacturing,2026-04-16
109,2024-04-19,Australia,21,Female,Google Ads,Medium,Manufacturing,2026-01-21
110,2023-10-12,USA,19,Male,Google Ads,Medium,Education,2026-05-28
111,2025-09-05,Canada,33,Male,Referral,Medium,Education,2026-05-14
112,2025-03-20,Canada,47,Female,LinkedIn,Small,Education,2026-04-27
113,2026-02-01,Singapore,63,Male,Google Ads,Large,Technology,2026-05-25
114,2025-08-23,Australia,19,Female,Facebook Ads,Medium,Retail,2026-05-09
115,2026-01-31,Germany,63,Male,Organic,Small,Manufacturing,2026-05-24
116,2025-05-30,Canada,24,Female,Facebook Ads,Medium,Education,2026-05-29
117,2024-12-07,Indonesia,20,Female,Facebook Ads,Small,Healthcare,2026-05-19
118,2023-09-13,USA,50,Female,Organic,Medium,Retail,2026-05-29
119,2024-12-04,USA,45,Female,Referral,Medium,Retail,2026-05-12
120,2026-01-20,Canada,64,Female,Facebook Ads,Medium,Education,2026-05-25
121,2024-11-12,Indonesia,48,Female,Referral,Medium,Education,2026-03-31
122,2023-08-08,UK,38,Male,Organic,Small,Retail,2026-04-18
123,2026-05-07,Canada,47,Female,LinkedIn,Small,Healthcare,2026-05-31
124,2026-01-18,Canada,49,Male,LinkedIn,Medium,Healthcare,2026-05-20
125,2024-07-27,UK,56,Female,Facebook Ads,Small,Finance,2026-03-16
126,2025-06-11,USA,33,Female,Referral,Small,Finance,2026-05-07
127,2023-11-02,Singapore,48,Female,Referral,Medium,Technology,2026-05-18
128,2025-07-16,UK,32,Female,Google Ads,Small,Education,2026-05-20
129,2023-12-27,UK,48,Female,Referral,Large,Education,2026-03-31
130,2026-02-05,UK,40,Female,LinkedIn,Small,Finance,2026-05-21
131,2024-12-31,USA,64,Male,LinkedIn,Small,Education,2026-03-10
132,2025-11-18,Indonesia,62,Male,Google Ads,Small,Retail,2026-05-30
133,2024-06-29,UK,64,Female,Organic,Medium,Healthcare,2026-02-07
134,2023-08-27,Canada,41,Male,LinkedIn,Small,Education,2026-01-21
135,2023-09-09,Canada,35,Male,Organic,Small,Manufacturing,2026-05-14
136,2024-07-10,Canada,58,Female,Organic,Medium,Education,2026-05-11
137,2024-11-20,UK,48,Female,Referral,Small,Technology,2026-04-20
138,2026-01-12,UK,48,Male,Organic,Small,Technology,2026-05-26
139,2025-07-01,Australia,58,Male,Google Ads,Small,Education,2026-04-18
140,2025-06-22,UK,23,Male,Organic,Small,Retail,2026-05-12
141,2025-12-24,Australia,56,Male,Facebook Ads,Small,Retail,2026-05-07
142,2026-05-18,UK,55,Female,LinkedIn,Small,Technology,2026-05-29
143,2024-12-05,Australia,65,Male,Google Ads,Medium,Healthcare,2026-05-03
144,2026-04-28,Singapore,23,Male,Google Ads,Small,Technology,2026-05-31
145,2024-02-20,Canada,18,Female,Referral,Medium,Retail,2026-04-19
146,2024-04-22,UK,20,Male,LinkedIn,Medium,Manufacturing,2026-01-03
147,2024-06-19,Indonesia,47,Male,Google Ads,Large,Manufacturing,2026-03-29
148,2023-12-23,Australia,60,Male,Referral,Small,Finance,2026-05-21
149,2024-03-28,Singapore,27,Female,Google Ads,Small,Finance,2025-09-20
150,2025-07-22,Indonesia,37,Female,Referral,Small,Manufacturing,2026-05-29
151,2025-03-08,UK,62,Female,LinkedIn,Small,Retail,2026-05-03
152,2026-05-15,Germany,23,Male,Referral,Medium,Education,2026-05-30
153,2025-10-06,UK,19,Male,Google Ads,Large,Education,2026-04-21
154,2025-08-27,Australia,19,Female,Facebook Ads,Small,Finance,2026-04-23
155,2023-12-13,Germany,51,Female,LinkedIn,Small,Education,2026-05-21
156,2024-04-01,Germany,58,Female,Organic,Small,Retail,2026-05-10
157,2025-01-07,UK,38,Male,Google Ads,Small,Manufacturing,2026-02-21
158,2025-03-02,Germany,36,Female,Facebook Ads,Small,Technology,2026-02-03
159,2023-07-09,UK,34,Female,Organic,Large,Retail,2025-12-22
160,2024-05-12,Indonesia,50,Male,Facebook Ads,Small,Technology,2026-05-29
161,2025-12-31,Canada,51,Female,Facebook Ads,Medium,Manufacturing,2026-05-31
162,2025-09-17,Germany,21,Male,LinkedIn,Small,Healthcare,2026-04-18
163,2026-05-12,Germany,62,Female,Organic,Small,Manufacturing,2026-05-31
164,2024-05-11,Australia,33,Male,LinkedIn,Small,Education,2026-04-12
